"Years" "conference" "offName" "school" "Division" "offName"
1908 "Independent" "University of New Mexico" "New Mexico" NA NA
1909 "Independent" "University of New Mexico" "New Mexico" NA NA
1910 "Independent" "University of New Mexico" "New Mexico" NA NA
1911 "Independent" "University of New Mexico" "New Mexico" NA NA
1912 "Independent" "University of New Mexico" "New Mexico" NA NA
1913 "Independent" "University of New Mexico" "New Mexico" NA NA
1914 "Independent" "University of New Mexico" "New Mexico" NA NA
1915 "Independent" "University of New Mexico" "New Mexico" NA NA
1916 "Independent" "University of New Mexico" "New Mexico" NA NA
1917 "Independent" "University of New Mexico" "New Mexico" NA NA
1918 "Independent" "University of New Mexico" "New Mexico" NA NA
1919 "Independent" "University of New Mexico" "New Mexico" NA NA
1920 "Independent" "University of New Mexico" "New Mexico" NA NA
1921 "Independent" "University of New Mexico" "New Mexico" NA NA
1922 "Independent" "University of New Mexico" "New Mexico" NA NA
1923 "Independent" "University of New Mexico" "New Mexico" NA NA
1924 "Independent" "University of New Mexico" "New Mexico" NA NA
1925 "Independent" "University of New Mexico" "New Mexico" NA NA
1926 "Independent" "University of New Mexico" "New Mexico" NA NA
1927 "Independent" "University of New Mexico" "New Mexico" NA NA
1928 "Independent" "University of New Mexico" "New Mexico" NA NA
1929 "Independent" "University of New Mexico" "New Mexico" NA NA
1930 "Independent" "University of New Mexico" "New Mexico" NA NA
1931 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1932 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1933 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1934 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1935 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1936 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" NA NA
1937 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA College Division (Small College)" "University of New Mexico"
1938 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA College Division (Small College)" "University of New Mexico"
1939 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA College Division (Small College)" "University of New Mexico"
1940 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1941 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1942 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1943 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1944 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1945 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1946 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1947 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1948 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1949 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1950 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1951 "Border Intercollegiate Athletic Association" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1951 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1952 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1953 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1954 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1955 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1956 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1957 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1958 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1959 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1960 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1961 "Mountain States Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1962 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1963 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1964 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1965 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1966 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1967 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1968 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1969 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1970 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1971 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1972 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA University Division (Major College)" "University of New Mexico"
1973 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I" "University of New Mexico"
1974 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I" "University of New Mexico"
1975 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I" "University of New Mexico"
1976 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I" "University of New Mexico"
1977 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I" "University of New Mexico"
1978 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1979 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1980 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1981 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1982 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1983 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1984 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1985 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1986 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1987 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1988 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1989 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1990 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1991 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1992 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1993 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1994 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1995 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1996 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1997 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1998 "Western Athletic Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1999 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2000 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2001 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2002 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2003 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2004 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2005 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2006 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2007 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2008 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2009 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2010 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2011 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
2012 "Mountain West Conference" "University of New Mexico" "New Mexico" "NCAA Division I-A" "University of New Mexico"
1893 "Independent" "New Mexico State University" "New Mexico St." NA NA
1894 "Independent" "New Mexico State University" "New Mexico St." NA NA
1895 "Independent" "New Mexico State University" "New Mexico St." NA NA
1896 "Independent" "New Mexico State University" "New Mexico St." NA NA
1897 "Independent" "New Mexico State University" "New Mexico St." NA NA
1898 "Independent" "New Mexico State University" "New Mexico St." NA NA
1899 "Independent" "New Mexico State University" "New Mexico St." NA NA
1900 "Independent" "New Mexico State University" "New Mexico St." NA NA
1901 "Independent" "New Mexico State University" "New Mexico St." NA NA
1902 "Independent" "New Mexico State University" "New Mexico St." NA NA
1903 "Independent" "New Mexico State University" "New Mexico St." NA NA
1904 "Independent" "New Mexico State University" "New Mexico St." NA NA
1905 "Independent" "New Mexico State University" "New Mexico St." NA NA
1906 "Independent" "New Mexico State University" "New Mexico St." NA NA
1907 "Independent" "New Mexico State University" "New Mexico St." NA NA
1908 "Independent" "New Mexico State University" "New Mexico St." NA NA
1909 "Independent" "New Mexico State University" "New Mexico St." NA NA
1910 "Independent" "New Mexico State University" "New Mexico St." NA NA
1911 "Independent" "New Mexico State University" "New Mexico St." NA NA
1912 "Independent" "New Mexico State University" "New Mexico St." NA NA
1913 "Independent" "New Mexico State University" "New Mexico St." NA NA
1914 "Independent" "New Mexico State University" "New Mexico St." NA NA
1915 "Independent" "New Mexico State University" "New Mexico St." NA NA
1916 "Independent" "New Mexico State University" "New Mexico St." NA NA
1917 "Independent" "New Mexico State University" "New Mexico St." NA NA
