"Years" "Conference" "offName" "school" "Division" "school"
1924 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1925 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1926 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1927 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1928 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1929 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1930 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1931 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1932 "Virginia Conference" "University of Richmond" "Richmond (VA)" NA NA
1933 "Virginia Conference" "University of Richmond" "Richmond (VA)" NA NA
1934 "Virginia Conference" "University of Richmond" "Richmond (VA)" NA NA
1935 "Virginia Conference" "University of Richmond" "Richmond (VA)" NA NA
1936 "Southern Conference" "University of Richmond" "Richmond (VA)" NA NA
1937 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA College Division (Small College)" "Richmond (VA)"
1938 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA College Division (Small College)" "Richmond (VA)"
1939 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA College Division (Small College)" "Richmond (VA)"
1940 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1941 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1942 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1943 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1944 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1945 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1946 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1947 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1948 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1949 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1950 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1951 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1952 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1953 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1954 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1955 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1956 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1957 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1958 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1959 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1960 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1961 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1962 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1963 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1964 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1965 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1966 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1967 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1968 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1969 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1970 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1971 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1972 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1973 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1974 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1975 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1976 "Southern Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1977 "Division I Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1978 "Division I-A Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1979 "Division I-A Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1980 "Division I-A Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1981 "Division I-A Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-A" "Richmond (VA)"
1982 "Division I-AA Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1983 "Division I-AA Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1984 "Division I-AA Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1985 "Division I-AA Independent" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1986 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1987 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1988 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1989 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1990 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1991 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1992 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1993 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1994 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1995 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1996 "Yankee Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1997 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1998 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1999 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2000 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2001 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2002 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2003 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2004 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2005 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2006 "Atlantic 10 Conference" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2007 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2008 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2009 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2010 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2011 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
2012 "Colonial Athletic Association" "University of Richmond" "Richmond (VA)" "NCAA Division I-AA" "Richmond (VA)"
1994 "Independent" "Robert Morris College" "Robert Morris (PA)" "No Classification" "Robert Morris (PA)"
1995 "Independent" "Robert Morris College" "Robert Morris (PA)" "No Classification" "Robert Morris (PA)"
1996 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "No Classification" "Robert Morris (PA)"
1997 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "No Classification" "Robert Morris (PA)"
1998 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
1999 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2000 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2001 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2002 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2003 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2004 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2005 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2006 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2007 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2008 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2009 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2010 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2011 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
2012 "Northeast Conference" "Robert Morris College" "Robert Morris (PA)" "NCAA Division I-AA" "Robert Morris (PA)"
1991 "Division III Independent" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division III" "Sacred Heart (CT)"
1992 "Division III Independent" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division III" "Sacred Heart (CT)"
1993 "Division II Independent" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1994 "Division II Independent" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1995 "Eastern Collegiate Football Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1996 "Eastern Collegiate Football Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1997 "Eastern Football Conference (1997-2000)" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1998 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division II" "Sacred Heart (CT)"
1999 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2000 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2001 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2002 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2003 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2004 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2005 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2006 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2007 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2008 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2009 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2010 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2011 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
2012 "Northeast Conference" "Sacred Heart University" "Sacred Heart (CT)" "NCAA Division I-AA" "Sacred Heart (CT)"
1909 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1910 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1911 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1912 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1913 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1914 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1915 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1916 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1917 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1918 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1919 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1920 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1921 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1922 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1923 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1924 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1925 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1926 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1927 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1928 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1929 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1930 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1931 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1932 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1933 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1934 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1935 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
1936 "Independent" "Saint Francis University" "Saint Francis (PA)" NA NA
