"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"762","6","W","12-31-1997","35","Syracuse (NY)","18","Fiesta Bowl","Kansas St.","Kansas State University"
"763","7","L","12-29-1998","34","Purdue (IN)","37","Alamo Bowl","Kansas St.","Kansas State University"
"764","8","W","12-29-1999","24","Washington","20","Holiday Bowl (1)","Kansas St.","Kansas State University"
"765","9","W","01-01-2001","35","Tennessee","21","Cotton Bowl","Kansas St.","Kansas State University"
"766","10","L","12-29-2001","3","Syracuse (NY)","26","Insight.com Bowl","Kansas St.","Kansas State University"
"767","11","W","12-27-2002","34","Arizona St.","27","Holiday Bowl (1)","Kansas St.","Kansas State University"
"768","12","L","01-02-2004","28","Ohio St.","35","Fiesta Bowl","Kansas St.","Kansas State University"
"769","13","L","12-28-2006","10","Rutgers (NJ)","37","Texas Bowl","Kansas St.","Kansas State University"
"770","14","L","12-30-2010","34","Syracuse (NY)","36","Pinstripe Bowl","Kansas St.","Kansas State University"
"771","15","L","01-06-2012","16","Arkansas","29","Cotton Bowl","Kansas St.","Kansas State University"
"772","16","L","01-03-2013","17","Oregon","35","Fiesta Bowl","Kansas St.","Kansas State University"
"773","17","W","12-28-2013","31","Michigan","14","Buffalo Wild Wings Bowl","Kansas St.","Kansas State University"
"774","1","L","12-29-1972","18","Tampa (FL)","21","Tangerine Bowl","Kent St. (OH)","Kent State University"
"775","2","L","01-06-2013","13","Arkansas St.","17","GoDaddy.com Bowl","Kent St. (OH)","Kent State University"
"776","1","W","12-06-1947","24","Villanova (PA)","14","Great Lakes Bowl","Kentucky","University of Kentucky"
"777","2","L","01-02-1950","13","Santa Clara (CA)","21","Orange Bowl","Kentucky","University of Kentucky"
"778","3","W","01-01-1951","13","Oklahoma","7","Sugar Bowl","Kentucky","University of Kentucky"
"779","4","W","01-01-1952","20","Texas Christian","7","Cotton Bowl","Kentucky","University of Kentucky"
"780","5","W","12-31-1976","21","North Carolina","0","Peach Bowl","Kentucky","University of Kentucky"
"781","6","L","12-22-1983","16","West Virginia","20","Hall of Fame Classic","Kentucky","University of Kentucky"
"782","7","W","12-29-1984","20","Wisconsin","19","Hall of Fame Classic","Kentucky","University of Kentucky"
"783","8","L","12-31-1993","13","Clemson (SC)","14","Peach Bowl","Kentucky","University of Kentucky"
"784","9","L","01-01-1999","14","Penn St.","26","Outback Bowl - Penn St. Vacated Game","Kentucky","University of Kentucky"
"785","10","L","12-29-1999","13","Syracuse (NY)","20","Music City Bowl","Kentucky","University of Kentucky"
"786","11","W","12-29-2006","28","Clemson (SC)","20","Music City Bowl","Kentucky","University of Kentucky"
"787","12","W","12-31-2007","35","Florida St.","28","Music City Bowl","Kentucky","University of Kentucky"
"788","13","W","01-02-2009","25","East Carolina (NC)","19","Liberty Bowl","Kentucky","University of Kentucky"
"789","14","L","12-27-2009","13","Clemson (SC)","21","Music City Bowl","Kentucky","University of Kentucky"
"790","15","L","01-08-2011","10","Pittsburgh (PA)","27","BBVA Compass Bowl","Kentucky","University of Kentucky"
"791","1","L","01-01-1936","2","Texas Christian","3","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"792","2","L","01-01-1937","14","Santa Clara (CA)","21","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"793","3","L","01-01-1938","0","Santa Clara (CA)","6","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"794","4","W","01-01-1944","19","Texas A&M","14","Orange Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"795","5","T","01-01-1947","0","Arkansas","0","Cotton Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"796","6","L","01-02-1950","0","Oklahoma","35","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"797","7","W","01-01-1959","7","Clemson (SC)","0","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"798","8","L","01-01-1960","0","Mississippi","21","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"799","9","W","01-01-1962","25","Colorado","7","Orange Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"800","10","W","01-01-1963","13","Texas","0","Cotton Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"801","11","L","12-21-1963","7","Baylor (TX)","14","Bluebonnet Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"802","12","W","01-01-1965","13","Syracuse (NY)","10","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"803","13","W","01-01-1966","14","Arkansas","7","Cotton Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"804","14","W","01-01-1968","20","Wyoming","13","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"805","15","W","12-30-1968","31","Florida St.","27","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"806","16","L","01-01-1971","12","Nebraska","17","Orange Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"807","17","W","12-18-1971","33","Iowa St.","15","Sun Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"808","18","L","12-30-1972","17","Tennessee","24","Bluebonnet Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"809","19","L","01-01-1974","9","Penn St.","16","Orange Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"810","20","L","12-31-1977","14","Stanford (CA)","24","Sun Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"811","21","L","12-23-1978","15","Missouri","20","Liberty Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"812","22","W","12-22-1979","34","Wake Forest (NC)","10","Tangerine Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"813","23","L","01-01-1983","20","Nebraska","21","Orange Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"814","24","L","01-01-1985","10","Nebraska","28","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"815","25","L","12-27-1985","7","Baylor (TX)","21","Liberty Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"816","26","L","01-01-1987","15","Nebraska","30","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"817","27","W","12-31-1987","30","South Carolina","13","Gator Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"818","28","L","01-02-1989","10","Syracuse (NY)","23","Hall of Fame Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"819","29","W","12-29-1995","45","Michigan St.","26","Independence Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"820","30","W","12-28-1996","10","Clemson (SC)","7","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"821","31","W","12-28-1997","27","Notre Dame (IN)","9","Independence Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"822","32","W","12-29-2000","28","Georgia Tech","14","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"823","33","W","01-01-2002","47","Illinois","34","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"824","34","L","01-01-2003","20","Texas","35","Cotton Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"825","35","W","01-04-2004","21","Oklahoma","14","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"826","36","L","01-01-2005","25","Iowa","30","Capital One Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"827","37","W","12-30-2005","40","Miami (FL)","3","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"828","38","W","01-03-2007","41","Notre Dame (IN)","14","Sugar Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"829","39","W","01-07-2008","38","Ohio St.","24","BCS Championship Game","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"830","40","W","12-31-2008","38","Georgia Tech","3","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"831","41","L","01-01-2010","17","Penn St.","19","Capital One Bowl - Penn St. Vacated Game","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"832","42","W","01-07-2011","41","Texas A&M","24","Cotton Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"833","43","L","01-09-2012","0","Alabama","21","BCS Championship Game","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"834","44","L","12-31-2012","24","Clemson (SC)","25","Peach Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"835","45","W","01-01-2014","21","Iowa","14","Outback Bowl","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"836","1","W","12-17-1977","24","Louisville (KY)","14","Independence Bowl","Louisiana Tech","Louisiana Tech University"
"837","2","L","12-16-1978","13","East Carolina (NC)","35","Independence Bowl","Louisiana Tech","Louisiana Tech University"
"838","3","T","12-15-1990","34","Maryland","34","Independence Bowl","Louisiana Tech","Louisiana Tech University"
"839","4","L","12-31-2001","24","Clemson (SC)","49","Humanitarian Bowl","Louisiana Tech","Louisiana Tech University"
"840","5","W","12-28-2008","17","Northern Illinois","10","Independence Bowl","Louisiana Tech","Louisiana Tech University"
"841","6","L","12-21-2011","24","Texas Christian","31","Poinsettia Bowl","Louisiana Tech","Louisiana Tech University"
"842","1","W","12-17-2011","32","San Diego St. (CA)","30","New Orleans Bowl","Louisiana-Lafayette","University of Louisiana at Lafayette"
"843","2","W","12-22-2012","43","East Carolina (NC)","34","New Orleans Bowl","Louisiana-Lafayette","University of Louisiana at Lafayette"
"844","3","W","12-21-2013","24","Tulane (LA)","21","New Orleans Bowl","Louisiana-Lafayette","University of Louisiana at Lafayette"
"845","1","L","12-28-2012","14","Ohio","45","Independence Bowl","Louisiana-Monroe","University of Louisiana at Monroe"
"846","1","W","01-01-1958","34","Drake (IA)","20","Sun Bowl","Louisville (KY)","University of Louisville"
"847","2","T","12-19-1970","24","Cal St.-Long Beach","24","Pasadena Bowl","Louisville (KY)","University of Louisville"
"848","3","L","12-17-1977","14","Louisiana Tech","24","Independence Bowl","Louisville (KY)","University of Louisville"
"849","4","W","01-01-1991","34","Alabama","7","Fiesta Bowl","Louisville (KY)","University of Louisville"
"850","5","W","12-28-1993","18","Michigan St.","7","Liberty Bowl","Louisville (KY)","University of Louisville"
"851","6","L","12-23-1998","29","Marshall (WV)","48","Motor City Bowl","Louisville (KY)","University of Louisville"
"852","7","L","12-30-1999","31","Boise St. (ID)","34","Humanitarian Bowl","Louisville (KY)","University of Louisville"
"853","8","L","12-29-2000","17","Colorado St.","22","Liberty Bowl","Louisville (KY)","University of Louisville"
"854","9","W","12-31-2001","28","Brigham Young (UT)","10","Liberty Bowl","Louisville (KY)","University of Louisville"
"855","10","L","12-18-2002","15","Marshall (WV)","38","GMAC Bowl","Louisville (KY)","University of Louisville"
"856","11","L","12-18-2003","28","Miami (OH)","49","GMAC Bowl","Louisville (KY)","University of Louisville"
"857","12","W","12-31-2004","44","Boise St. (ID)","40","Liberty Bowl","Louisville (KY)","University of Louisville"
"858","13","L","01-02-2006","24","Virginia Tech","35","Gator Bowl","Louisville (KY)","University of Louisville"
"859","14","W","01-02-2007","24","Wake Forest (NC)","13","Orange Bowl","Louisville (KY)","University of Louisville"
"860","15","W","12-21-2010","31","Southern Mississippi","28","Saint Petersburg Bowl","Louisville (KY)","University of Louisville"
"861","16","L","12-27-2011","24","North Carolina St.","31","Belk Bowl","Louisville (KY)","University of Louisville"
"862","17","W","01-02-2013","33","Florida","23","Sugar Bowl","Louisville (KY)","University of Louisville"
"863","18","W","12-28-2013","36","Miami (FL)","9","Russell Athletic Bowl","Louisville (KY)","University of Louisville"
"864","1","L","12-26-1997","31","Mississippi","34","Motor City Bowl","Marshall (WV)","Marshall University"
"865","2","W","12-23-1998","48","Louisville (KY)","29","Motor City Bowl","Marshall (WV)","Marshall University"
"866","3","W","12-27-1999","21","Brigham Young (UT)","3","Motor City Bowl","Marshall (WV)","Marshall University"
"867","4","W","12-27-2000","25","Cincinnati (OH)","14","Motor City Bowl","Marshall (WV)","Marshall University"
"868","5","W","12-19-2001","64","East Carolina (NC)","61","GMAC Bowl","Marshall (WV)","Marshall University"
"869","6","W","12-18-2002","38","Louisville (KY)","15","GMAC Bowl","Marshall (WV)","Marshall University"
"870","7","L","12-23-2004","14","Cincinnati (OH)","32","Fort Worth Bowl","Marshall (WV)","Marshall University"
"871","8","W","12-26-2009","21","Ohio","17","Little Caesars Pizza Bowl","Marshall (WV)","Marshall University"
"872","9","W","12-20-2011","20","Florida International","10","Saint Petersburg Bowl","Marshall (WV)","Marshall University"
"873","10","W","12-27-2013","31","Maryland","20","Military Bowl","Marshall (WV)","Marshall University"
"874","1","T","01-01-1948","20","Georgia","20","Gator Bowl","Maryland","University of Maryland: College Park"
"875","2","W","01-02-1950","20","Missouri","7","Gator Bowl","Maryland","University of Maryland: College Park"
"876","3","W","01-01-1952","28","Tennessee","13","Sugar Bowl","Maryland","University of Maryland: College Park"
"877","4","L","01-01-1954","0","Oklahoma","7","Orange Bowl","Maryland","University of Maryland: College Park"
"878","5","L","01-02-1956","6","Oklahoma","20","Orange Bowl","Maryland","University of Maryland: College Park"
"879","6","L","12-28-1973","16","Georgia","17","Peach Bowl","Maryland","University of Maryland: College Park"
"880","7","L","12-16-1974","3","Tennessee","7","Liberty Bowl","Maryland","University of Maryland: College Park"
"881","8","W","12-29-1975","13","Florida","0","Gator Bowl","Maryland","University of Maryland: College Park"
"882","9","L","01-01-1977","21","Houston (TX)","30","Cotton Bowl","Maryland","University of Maryland: College Park"
