"Year","Conference","Team"
2008,"Big Ten Conference","Michigan"
2009,"Big Ten Conference","Michigan"
2010,"Big Ten Conference","Michigan"
2011,"Big Ten Conference","Michigan"
2012,"Big Ten Conference","Michigan"
2013,"Big Ten Conference","Michigan"
1896,"Michigan Intercollegiate Athletic Association","Michigan St."
1897,"Michigan Intercollegiate Athletic Association","Michigan St."
1898,"Michigan Intercollegiate Athletic Association","Michigan St."
1899,"Michigan Intercollegiate Athletic Association","Michigan St."
1900,"Michigan Intercollegiate Athletic Association","Michigan St."
1901,"Michigan Intercollegiate Athletic Association","Michigan St."
1902,"Michigan Intercollegiate Athletic Association","Michigan St."
1903,"Michigan Intercollegiate Athletic Association","Michigan St."
1904,"Michigan Intercollegiate Athletic Association","Michigan St."
1905,"Michigan Intercollegiate Athletic Association","Michigan St."
1906,"Michigan Intercollegiate Athletic Association","Michigan St."
1907,"Independent","Michigan St."
1908,"Independent","Michigan St."
1909,"Independent","Michigan St."
1910,"Independent","Michigan St."
1911,"Independent","Michigan St."
1912,"Independent","Michigan St."
1913,"Independent","Michigan St."
1914,"Independent","Michigan St."
1915,"Independent","Michigan St."
1916,"Independent","Michigan St."
1917,"Independent","Michigan St."
1918,"Independent","Michigan St."
1919,"Independent","Michigan St."
1920,"Independent","Michigan St."
1921,"Independent","Michigan St."
1922,"Independent","Michigan St."
1923,"Independent","Michigan St."
1924,"Independent","Michigan St."
1925,"Independent","Michigan St."
1926,"Independent","Michigan St."
1927,"Independent","Michigan St."
1928,"Independent","Michigan St."
1929,"Independent","Michigan St."
1930,"Independent","Michigan St."
1931,"Independent","Michigan St."
1932,"Independent","Michigan St."
1933,"Independent","Michigan St."
1934,"Independent","Michigan St."
1935,"Independent","Michigan St."
1936,"Independent","Michigan St."
1937,"Independent","Michigan St."
1938,"Independent","Michigan St."
1939,"Independent","Michigan St."
1940,"Independent","Michigan St."
1941,"Independent","Michigan St."
1942,"Independent","Michigan St."
1943,"Independent","Michigan St."
1944,"Independent","Michigan St."
1945,"Independent","Michigan St."
1946,"Independent","Michigan St."
1947,"Independent","Michigan St."
1948,"Independent","Michigan St."
1949,"Independent","Michigan St."
1950,"Independent","Michigan St."
1951,"Independent","Michigan St."
1952,"Independent","Michigan St."
1953,"Big Ten Conference","Michigan St."
1954,"Big Ten Conference","Michigan St."
1955,"Big Ten Conference","Michigan St."
1956,"Big Ten Conference","Michigan St."
1957,"Big Ten Conference","Michigan St."
1958,"Big Ten Conference","Michigan St."
1959,"Big Ten Conference","Michigan St."
1960,"Big Ten Conference","Michigan St."
1961,"Big Ten Conference","Michigan St."
1962,"Big Ten Conference","Michigan St."
1963,"Big Ten Conference","Michigan St."
1964,"Big Ten Conference","Michigan St."
1965,"Big Ten Conference","Michigan St."
1966,"Big Ten Conference","Michigan St."
1967,"Big Ten Conference","Michigan St."
1968,"Big Ten Conference","Michigan St."
1969,"Big Ten Conference","Michigan St."
1970,"Big Ten Conference","Michigan St."
1971,"Big Ten Conference","Michigan St."
1972,"Big Ten Conference","Michigan St."
1973,"Big Ten Conference","Michigan St."
1974,"Big Ten Conference","Michigan St."
1975,"Big Ten Conference","Michigan St."
1976,"Big Ten Conference","Michigan St."
1977,"Big Ten Conference","Michigan St."
1978,"Big Ten Conference","Michigan St."
1979,"Big Ten Conference","Michigan St."
1980,"Big Ten Conference","Michigan St."
1981,"Big Ten Conference","Michigan St."
1982,"Big Ten Conference","Michigan St."
1983,"Big Ten Conference","Michigan St."
1984,"Big Ten Conference","Michigan St."
1985,"Big Ten Conference","Michigan St."
1986,"Big Ten Conference","Michigan St."
1987,"Big Ten Conference","Michigan St."
1988,"Big Ten Conference","Michigan St."
1989,"Big Ten Conference","Michigan St."
1990,"Big Ten Conference","Michigan St."
1991,"Big Ten Conference","Michigan St."
1992,"Big Ten Conference","Michigan St."
1993,"Big Ten Conference","Michigan St."
1994,"Big Ten Conference","Michigan St."
1995,"Big Ten Conference","Michigan St."
1996,"Big Ten Conference","Michigan St."
1997,"Big Ten Conference","Michigan St."
1998,"Big Ten Conference","Michigan St."
1999,"Big Ten Conference","Michigan St."
2000,"Big Ten Conference","Michigan St."
2001,"Big Ten Conference","Michigan St."
2002,"Big Ten Conference","Michigan St."
2003,"Big Ten Conference","Michigan St."
2004,"Big Ten Conference","Michigan St."
2005,"Big Ten Conference","Michigan St."
2006,"Big Ten Conference","Michigan St."
2007,"Big Ten Conference","Michigan St."
2008,"Big Ten Conference","Michigan St."
2009,"Big Ten Conference","Michigan St."
2010,"Big Ten Conference","Michigan St."
2011,"Big Ten Conference","Michigan St."
2012,"Big Ten Conference","Michigan St."
2013,"Big Ten Conference","Michigan St."
1911,"Independent","Middle Tennessee St."
1912,"Independent","Middle Tennessee St."
1913,"Independent","Middle Tennessee St."
1914,"Independent","Middle Tennessee St."
1915,"Independent","Middle Tennessee St."
1916,"Independent","Middle Tennessee St."
1917,"Independent","Middle Tennessee St."
1918,"Independent","Middle Tennessee St."
1919,"Independent","Middle Tennessee St."
1920,"Independent","Middle Tennessee St."
1921,"Independent","Middle Tennessee St."
1922,"Independent","Middle Tennessee St."
1923,"Independent","Middle Tennessee St."
1924,"Independent","Middle Tennessee St."
1925,"Independent","Middle Tennessee St."
1926,"Independent","Middle Tennessee St."
1927,"Independent","Middle Tennessee St."
1928,"Independent","Middle Tennessee St."
1929,"Independent","Middle Tennessee St."
1930,"Independent","Middle Tennessee St."
1931,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1932,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1933,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1934,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1935,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1936,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1937,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1938,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1939,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1940,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1941,"Southern Intercollegiate Athletic Association","Middle Tennessee St."
1942,"Independent","Middle Tennessee St."
1943,"Independent","Middle Tennessee St."
1944,"Independent","Middle Tennessee St."
1945,"Independent","Middle Tennessee St."
1946,"Independent","Middle Tennessee St."
1947,"Independent","Middle Tennessee St."
1948,"Independent","Middle Tennessee St."
1949,"Volunteer State Athletic Conference","Middle Tennessee St."
1950,"Volunteer State Athletic Conference","Middle Tennessee St."
1951,"Volunteer State Athletic Conference","Middle Tennessee St."
1952,"Volunteer State Athletic Conference","Middle Tennessee St."
1953,"Volunteer State Athletic Conference","Middle Tennessee St."
1954,"Volunteer State Athletic Conference","Middle Tennessee St."
1955,"Volunteer State Athletic Conference","Middle Tennessee St."
1956,"Volunteer State Athletic Conference","Middle Tennessee St."
1957,"Volunteer State Athletic Conference","Middle Tennessee St."
1952,"Ohio Valley Conference","Middle Tennessee St."
1953,"Ohio Valley Conference","Middle Tennessee St."
1954,"Ohio Valley Conference","Middle Tennessee St."
1955,"Ohio Valley Conference","Middle Tennessee St."
1956,"Ohio Valley Conference","Middle Tennessee St."
1957,"Ohio Valley Conference","Middle Tennessee St."
1958,"Ohio Valley Conference","Middle Tennessee St."
1959,"Ohio Valley Conference","Middle Tennessee St."
1960,"Ohio Valley Conference","Middle Tennessee St."
1961,"Ohio Valley Conference","Middle Tennessee St."
1962,"Ohio Valley Conference","Middle Tennessee St."
1963,"Ohio Valley Conference","Middle Tennessee St."
1964,"Ohio Valley Conference","Middle Tennessee St."
1965,"Ohio Valley Conference","Middle Tennessee St."
1966,"Ohio Valley Conference","Middle Tennessee St."
1967,"Ohio Valley Conference","Middle Tennessee St."
1968,"Ohio Valley Conference","Middle Tennessee St."
1969,"Ohio Valley Conference","Middle Tennessee St."
1970,"Ohio Valley Conference","Middle Tennessee St."
1971,"Ohio Valley Conference","Middle Tennessee St."
1972,"Ohio Valley Conference","Middle Tennessee St."
1973,"Ohio Valley Conference","Middle Tennessee St."
1974,"Ohio Valley Conference","Middle Tennessee St."
1975,"Ohio Valley Conference","Middle Tennessee St."
1976,"Ohio Valley Conference","Middle Tennessee St."
1977,"Ohio Valley Conference","Middle Tennessee St."
1978,"Ohio Valley Conference","Middle Tennessee St."
1979,"Ohio Valley Conference","Middle Tennessee St."
1980,"Ohio Valley Conference","Middle Tennessee St."
1981,"Ohio Valley Conference","Middle Tennessee St."
1982,"Ohio Valley Conference","Middle Tennessee St."
1983,"Ohio Valley Conference","Middle Tennessee St."
1984,"Ohio Valley Conference","Middle Tennessee St."
1985,"Ohio Valley Conference","Middle Tennessee St."
1986,"Ohio Valley Conference","Middle Tennessee St."
1987,"Ohio Valley Conference","Middle Tennessee St."
1988,"Ohio Valley Conference","Middle Tennessee St."
1989,"Ohio Valley Conference","Middle Tennessee St."
1990,"Ohio Valley Conference","Middle Tennessee St."
1991,"Ohio Valley Conference","Middle Tennessee St."
1992,"Ohio Valley Conference","Middle Tennessee St."
1993,"Ohio Valley Conference","Middle Tennessee St."
1994,"Ohio Valley Conference","Middle Tennessee St."
1995,"Ohio Valley Conference","Middle Tennessee St."
1996,"Ohio Valley Conference","Middle Tennessee St."
1997,"Ohio Valley Conference","Middle Tennessee St."
1998,"Ohio Valley Conference","Middle Tennessee St."
1999,"Division I-A Independent","Middle Tennessee St."
2000,"Division I-A Independent","Middle Tennessee St."
2001,"Sun Belt Conference","Middle Tennessee St."
2002,"Sun Belt Conference","Middle Tennessee St."
2003,"Sun Belt Conference","Middle Tennessee St."
2004,"Sun Belt Conference","Middle Tennessee St."
2005,"Sun Belt Conference","Middle Tennessee St."
2006,"Sun Belt Conference","Middle Tennessee St."
2007,"Sun Belt Conference","Middle Tennessee St."
2008,"Sun Belt Conference","Middle Tennessee St."
2009,"Sun Belt Conference","Middle Tennessee St."
2010,"Sun Belt Conference","Middle Tennessee St."
2011,"Sun Belt Conference","Middle Tennessee St."
2012,"Sun Belt Conference","Middle Tennessee St."
2013,"Conference USA","Middle Tennessee St."
1882,"Independent","Minnesota"
1883,"Independent","Minnesota"
1884,"Independent","Minnesota"
1885,"Independent","Minnesota"
1886,"Independent","Minnesota"
1887,"Independent","Minnesota"
1888,"Independent","Minnesota"
1889,"Independent","Minnesota"
1890,"Independent","Minnesota"
1891,"Independent","Minnesota"
1892,"Independent","Minnesota"
1893,"Independent","Minnesota"
1894,"Independent","Minnesota"
1895,"Independent","Minnesota"
1896,"Big Ten Conference","Minnesota"
1897,"Big Ten Conference","Minnesota"
1898,"Big Ten Conference","Minnesota"
1899,"Big Ten Conference","Minnesota"
1900,"Big Ten Conference","Minnesota"
1901,"Big Ten Conference","Minnesota"
1902,"Big Ten Conference","Minnesota"
1903,"Big Ten Conference","Minnesota"
1904,"Big Ten Conference","Minnesota"
1905,"Big Ten Conference","Minnesota"
1906,"Big Ten Conference","Minnesota"
1907,"Big Ten Conference","Minnesota"
1908,"Big Ten Conference","Minnesota"
1909,"Big Ten Conference","Minnesota"
1910,"Big Ten Conference","Minnesota"
1911,"Big Ten Conference","Minnesota"
1912,"Big Ten Conference","Minnesota"
1913,"Big Ten Conference","Minnesota"
1914,"Big Ten Conference","Minnesota"
1915,"Big Ten Conference","Minnesota"
1916,"Big Ten Conference","Minnesota"
1917,"Big Ten Conference","Minnesota"
1918,"Big Ten Conference","Minnesota"
1919,"Big Ten Conference","Minnesota"
1920,"Big Ten Conference","Minnesota"
1921,"Big Ten Conference","Minnesota"
1922,"Big Ten Conference","Minnesota"
1923,"Big Ten Conference","Minnesota"
1924,"Big Ten Conference","Minnesota"
1925,"Big Ten Conference","Minnesota"
1926,"Big Ten Conference","Minnesota"
1927,"Big Ten Conference","Minnesota"
1928,"Big Ten Conference","Minnesota"
1929,"Big Ten Conference","Minnesota"
1930,"Big Ten Conference","Minnesota"
1931,"Big Ten Conference","Minnesota"
1932,"Big Ten Conference","Minnesota"
1933,"Big Ten Conference","Minnesota"
1934,"Big Ten Conference","Minnesota"
1935,"Big Ten Conference","Minnesota"
1936,"Big Ten Conference","Minnesota"
1937,"Big Ten Conference","Minnesota"
1938,"Big Ten Conference","Minnesota"
1939,"Big Ten Conference","Minnesota"
1940,"Big Ten Conference","Minnesota"
1941,"Big Ten Conference","Minnesota"
1942,"Big Ten Conference","Minnesota"
1943,"Big Ten Conference","Minnesota"
1944,"Big Ten Conference","Minnesota"
1945,"Big Ten Conference","Minnesota"
1946,"Big Ten Conference","Minnesota"
1947,"Big Ten Conference","Minnesota"
1948,"Big Ten Conference","Minnesota"
1949,"Big Ten Conference","Minnesota"
1950,"Big Ten Conference","Minnesota"
1951,"Big Ten Conference","Minnesota"
1952,"Big Ten Conference","Minnesota"
1953,"Big Ten Conference","Minnesota"
1954,"Big Ten Conference","Minnesota"
1955,"Big Ten Conference","Minnesota"
1956,"Big Ten Conference","Minnesota"
1957,"Big Ten Conference","Minnesota"
1958,"Big Ten Conference","Minnesota"
1959,"Big Ten Conference","Minnesota"
1960,"Big Ten Conference","Minnesota"
1961,"Big Ten Conference","Minnesota"
1962,"Big Ten Conference","Minnesota"
1963,"Big Ten Conference","Minnesota"
1964,"Big Ten Conference","Minnesota"
1965,"Big Ten Conference","Minnesota"
1966,"Big Ten Conference","Minnesota"
1967,"Big Ten Conference","Minnesota"
1968,"Big Ten Conference","Minnesota"
1969,"Big Ten Conference","Minnesota"
1970,"Big Ten Conference","Minnesota"
1971,"Big Ten Conference","Minnesota"
1972,"Big Ten Conference","Minnesota"
1973,"Big Ten Conference","Minnesota"
1974,"Big Ten Conference","Minnesota"
1975,"Big Ten Conference","Minnesota"
1976,"Big Ten Conference","Minnesota"
1977,"Big Ten Conference","Minnesota"
1978,"Big Ten Conference","Minnesota"
1979,"Big Ten Conference","Minnesota"
1980,"Big Ten Conference","Minnesota"
1981,"Big Ten Conference","Minnesota"
1982,"Big Ten Conference","Minnesota"
1983,"Big Ten Conference","Minnesota"
1984,"Big Ten Conference","Minnesota"
1985,"Big Ten Conference","Minnesota"
1986,"Big Ten Conference","Minnesota"
1987,"Big Ten Conference","Minnesota"
1988,"Big Ten Conference","Minnesota"
1989,"Big Ten Conference","Minnesota"
1990,"Big Ten Conference","Minnesota"
1991,"Big Ten Conference","Minnesota"
1992,"Big Ten Conference","Minnesota"
1993,"Big Ten Conference","Minnesota"
1994,"Big Ten Conference","Minnesota"
1995,"Big Ten Conference","Minnesota"
1996,"Big Ten Conference","Minnesota"
1997,"Big Ten Conference","Minnesota"
1998,"Big Ten Conference","Minnesota"
1999,"Big Ten Conference","Minnesota"
2000,"Big Ten Conference","Minnesota"
2001,"Big Ten Conference","Minnesota"
2002,"Big Ten Conference","Minnesota"
2003,"Big Ten Conference","Minnesota"
2004,"Big Ten Conference","Minnesota"
2005,"Big Ten Conference","Minnesota"
2006,"Big Ten Conference","Minnesota"
2007,"Big Ten Conference","Minnesota"
2008,"Big Ten Conference","Minnesota"
2009,"Big Ten Conference","Minnesota"
2010,"Big Ten Conference","Minnesota"
2011,"Big Ten Conference","Minnesota"
2012,"Big Ten Conference","Minnesota"
2013,"Big Ten Conference","Minnesota"
1893,"Independent","Mississippi"
1894,"Independent","Mississippi"
1895,"Independent","Mississippi"
1896,"Independent","Mississippi"
1897,"Independent","Mississippi"
1898,"Independent","Mississippi"
1899,"Southern Intercollegiate Athletic Association","Mississippi"
1900,"Southern Intercollegiate Athletic Association","Mississippi"
1901,"Southern Intercollegiate Athletic Association","Mississippi"
1902,"Southern Intercollegiate Athletic Association","Mississippi"
1903,"Southern Intercollegiate Athletic Association","Mississippi"
1904,"Southern Intercollegiate Athletic Association","Mississippi"
1905,"Southern Intercollegiate Athletic Association","Mississippi"
1906,"Southern Intercollegiate Athletic Association","Mississippi"
1907,"Southern Intercollegiate Athletic Association","Mississippi"
1908,"Southern Intercollegiate Athletic Association","Mississippi"
1909,"Southern Intercollegiate Athletic Association","Mississippi"
1910,"Southern Intercollegiate Athletic Association","Mississippi"
1911,"Southern Intercollegiate Athletic Association","Mississippi"
