"No","Year","Record","APRank","CoachRank","Team","offName"
"1","1941","9-1-1","14","","Georgia","University of Georgia"
"2","1942","11-1-0","2","","Georgia","University of Georgia"
"3","1945","9-2-0","18","","Georgia","University of Georgia"
"4","1946","11-0-0","3","","Georgia","University of Georgia"
"5","1948","9-2-0","8","","Georgia","University of Georgia"
"6","1959","10-1-0","5","5","Georgia","University of Georgia"
"7","1965","6-4-0","","15","Georgia","University of Georgia"
"8","1966","10-1-0","4","4","Georgia","University of Georgia"
"9","1967","7-4-0","","18","Georgia","University of Georgia"
"10","1968","8-1-2","8","4","Georgia","University of Georgia"
"11","1971","11-1-0","7","8","Georgia","University of Georgia"
"12","1975","9-3-0","19","19","Georgia","University of Georgia"
"13","1976","10-2-0","10","10","Georgia","University of Georgia"
"14","1978","9-2-1","16","15","Georgia","University of Georgia"
"15","1980","12-0-0","1","1","Georgia","University of Georgia"
"16","1981","10-2-0","6","5","Georgia","University of Georgia"
"17","1982","11-1-0","4","4","Georgia","University of Georgia"
"18","1983","10-1-1","4","4","Georgia","University of Georgia"
"19","1987","9-3-0","13","14","Georgia","University of Georgia"
"20","1988","9-3-0","15","15","Georgia","University of Georgia"
"21","1991","9-3-0","17","19","Georgia","University of Georgia"
"22","1992","10-2-0","8","8","Georgia","University of Georgia"
"23","1997","10-2-0","10","10","Georgia","University of Georgia"
"24","1998","9-3-0","14","14","Georgia","University of Georgia"
"25","1999","8-4-0","16","16","Georgia","University of Georgia"
"26","2000","8-4-0","20","17","Georgia","University of Georgia"
"27","2001","8-4-0","22","25","Georgia","University of Georgia"
"28","2002","13-1-0","3","3","Georgia","University of Georgia"
"29","2003","11-3-0","7","6","Georgia","University of Georgia"
"30","2004","10-2-0","7","6","Georgia","University of Georgia"
"31","2005","10-3-0","10","10","Georgia","University of Georgia"
"32","2006","9-4-0","23","","Georgia","University of Georgia"
"33","2007","11-2-0","2","3","Georgia","University of Georgia"
"34","2008","10-3-0","13","10","Georgia","University of Georgia"
"35","2011","10-4-0","19","20","Georgia","University of Georgia"
"36","2012","12-2-0","5","4","Georgia","University of Georgia"
"1","1939","8-2-0","16","","Georgia Tech","Georgia Institute of Technology"
"2","1942","9-2-0","5","","Georgia Tech","Georgia Institute of Technology"
"3","1943","8-3-0","13","","Georgia Tech","Georgia Institute of Technology"
"4","1944","8-3-0","13","","Georgia Tech","Georgia Institute of Technology"
"5","1946","9-2-0","11","","Georgia Tech","Georgia Institute of Technology"
"6","1947","10-1-0","10","","Georgia Tech","Georgia Institute of Technology"
"7","1951","11-0-1","5","5","Georgia Tech","Georgia Institute of Technology"
"8","1952","12-0-0","2","2","Georgia Tech","Georgia Institute of Technology"
"9","1953","9-2-1","8","9","Georgia Tech","Georgia Institute of Technology"
"10","1954","8-3-0","","11","Georgia Tech","Georgia Institute of Technology"
"11","1955","9-1-1","7","7","Georgia Tech","Georgia Institute of Technology"
"12","1956","10-1-0","4","4","Georgia Tech","Georgia Institute of Technology"
"13","1961","7-4-0","13","13","Georgia Tech","Georgia Institute of Technology"
"14","1962","7-3-1","","11","Georgia Tech","Georgia Institute of Technology"
"15","1966","9-2-0","8","8","Georgia Tech","Georgia Institute of Technology"
